index,Target Job,Previous Job ,Variable,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],number,,,,
96,,,Mod_above_2,-0.660979003,0.127008246,-5.204221181,1.95E-07,-0.90991059,-0.412047415,30,,,,
97,,,Exp_above_2,1.714414984,0.19703697,8.700981259,3.29E-18,1.328229619,2.100600349,2,,,,
98,,,Time,-0.00031423,0.00075556,-0.415890369,0.677490227,-0.001795102,0.001166641,834,,,,
99,,,Job,0.075096759,0.056110918,1.338362699,0.180778232,-0.034878619,0.185072137,485,,,,
100,,,Task,-0.027584204,0.020290924,-1.359435547,0.174008613,-0.067353684,0.012185277,475,,,,
101,,,Biome,0.307251481,0.243998656,1.259234318,0.20794571,-0.170977097,0.78548006,510,,,,
102,,,Session,0.003482473,0.003084318,1.129090287,0.258859748,-0.002562679,0.009527625,565,,,,
103,bayou-shrimp-tastrophe,,,,,,,,,,,,,
104,,bayou-reef-decision,,,,,,,,,,,,
105,,,const,-0.93759151,1.366649659,-0.686051106,0.492680882,-3.61617562,1.7409926,727,,,,
106,,,Complete_A,1.838259497,0.406457198,4.522639795,6.11E-06,1.041618029,2.634900966,45,,,,
107,,,Arg_above_2,0.173319809,0.139049106,1.246464746,0.212593824,-0.099211431,0.445851048,515,,,,
108,,,Mod_above_2,-0.174908188,0.157658488,-1.10941181,0.26725257,-0.483913146,0.13409677,575,,,,
109,,,Exp_above_2,0.588524869,0.235319933,2.500956305,0.012385846,0.127306276,1.049743462,201,,,,
110,,,Time,0.002492451,0.002145068,1.161945191,0.245257729,-0.001711805,0.006696707,553,,,,
111,,,Job,-0.102436,0.077658772,-1.319052534,0.18715155,-0.254644397,0.049772396,493,,,,
112,,,Task,-0.03774128,0.023555108,-1.602254563,0.109099329,-0.083908443,0.008425884,383,,,,
113,,,Biome,0.329090151,0.426298367,0.771971409,0.440131361,-0.506439295,1.164619597,698,,,,
114,,,Session,0.001289048,0.004874551,0.264444444,0.791437468,-0.008264897,0.010842992,905,,,,
115,,bayou-methanogen,,,,,,,,,,,,
116,,,const,0.14760239,1.264244481,0.116751461,0.907057009,-2.33027126,2.625476041,972,,,,
117,,,Complete_A,1.324099421,0.376833954,3.513747653,0.000441832,0.585518443,2.062680399,99,,,,
118,,,Arg_above_2,0.055363579,0.136873528,0.40448712,0.685854547,-0.212903606,0.323630765,839,,,,
119,,,Mod_above_2,0.059864359,0.146784845,0.407837461,0.683393009,-0.227828651,0.347557368,836,,,,
120,,,Exp_above_2,0.427554035,0.228845367,1.868309768,0.061718906,-0.020974643,0.876082712,321,,,,
121,,,Time,0.002480806,0.002026212,1.224356632,0.220817722,-0.001490497,0.00645211,524,,,,
122,,,Job,-0.046314289,0.072996756,-0.634470504,0.52577381,-0.189385302,0.096756724,749,,,,
123,,,Task,-0.042954913,0.023163369,-1.854432884,0.063677254,-0.088354282,0.002444456,323,,,,
124,,,Biome,-0.005915527,0.400594678,-0.014766863,0.988218176,-0.791066668,0.779235615,1009,,,,
125,,,Session,0.001642915,0.004867715,0.337512489,0.735730599,-0.007897632,0.011183461,871,,,,
126,,coral-hunting-lions,,,,,,,,,,,,
127,,,const,0.505200673,1.211655874,0.416950624,0.676714524,-1.869601202,2.880002549,833,,,,
128,,,Complete_A,0.895411661,0.390538462,2.292761783,0.021861723,0.12997034,1.660852982,231,,,,
129,,,Arg_above_2,0.190811231,0.138585601,1.376847443,0.168559419,-0.080811556,0.462434018,469,,,,
130,,,Mod_above_2,-0.029978005,0.147309031,-0.20350419,0.838740971,-0.3186984,0.25874239,928,,,,
131,,,Exp_above_2,0.428660372,0.228212613,1.878337773,0.060334972,-0.018628131,0.875948875,319,,,,
132,,,Time,0.002686871,0.002168273,1.239175456,0.215280528,-0.001562866,0.006936607,517,,,,
133,,,Job,-0.045912448,0.073610425,-0.62372208,0.53281012,-0.19018623,0.098361335,755,,,,
134,,,Task,-0.056737153,0.024112837,-2.352985375,0.018623367,-0.103997446,-0.009476861,223,,,,
135,,,Biome,-0.034007574,0.385684942,-0.088174492,0.929737991,-0.789936169,0.721921022,982,,,,
136,,,Session,0.002336496,0.004811654,0.485591019,0.627257165,-0.007094172,0.011767164,792,,,,
137,arctic-missing-whale,,,,,,,,,,,,,
138,,coral-lionfish-conspiracy,,,,,,,,,,,,
139,,,const,0.367390651,0.30997306,1.185234131,0.235924889,-0.240145384,0.974926685,540,,,,
140,,,Complete_A,0.758220363,0.240049,3.158606636,0.001585253,0.287732969,1.228707757,127,,,,
141,,,Arg_above_2,0.215797151,0.223029526,0.967572115,0.333258109,-0.221332688,0.65292699,626,,,,
142,,,Mod_above_2,-0.967265672,0.805002788,-1.201568103,0.229530906,-2.545042143,0.610510799,530,,,,
143,,,Exp_above_2,0.262301063,0.784420065,0.334388518,0.738086403,-1.275134013,1.799736139,874,,,,
144,,,Time,0.000302405,0.001411731,0.214208537,0.830384439,-0.002464536,0.003069346,924,,,,
145,,,Job,0.326585262,0.109375814,2.985900166,0.002827449,0.112212605,0.540957918,145,,,,
146,,,Task,-0.030505574,0.05293631,-0.576269359,0.564433131,-0.134258835,0.073247688,773,,,,
147,,,Biome,-0.19669463,0.155391218,-1.265802744,0.205583713,-0.501255822,0.107866561,508,,,,
148,,,Session,0.036040692,0.007374785,4.887015978,1.02E-06,0.021586379,0.050495006,36,,,,
149,,bayou-shrimp-yields,,,,,,,,,,,,
150,,,const,0.337988892,0.307526784,1.099055139,0.271744016,-0.264752529,0.940730313,579,,,,
151,,,Complete_A,0.196111795,0.193449661,1.013761378,0.310696628,-0.183042574,0.575266164,610,,,,
152,,,Arg_above_2,0.223659862,0.220602962,1.013857023,0.310650981,-0.208713998,0.656033722,609,,,,
153,,,Mod_above_2,-0.936266838,0.819970187,-1.141830341,0.253524548,-2.543378873,0.670845197,559,,,,
154,,,Exp_above_2,0.249716325,0.798694765,0.312655517,0.754542395,-1.31569665,1.815129299,887,,,,
155,,,Time,0.00044969,0.001431961,0.314037773,0.75349235,-0.002356902,0.003256282,886,,,,
156,,,Job,0.353597547,0.109298945,3.235141432,0.001215825,0.13937555,0.567819544,121,,,,
157,,,Task,-0.036710623,0.052877013,-0.694264309,0.48751647,-0.140347663,0.066926418,725,,,,
158,,,Biome,-0.232447541,0.155155117,-1.498162263,0.134091098,-0.536545982,0.0716509,426,,,,
159,,,Session,0.047531676,0.00721085,6.591688755,4.35E-11,0.033398671,0.061664682,12,,,,
160,,kelp-urchin-barren-predict,,,,,,,,,,,,
161,,,const,0.345207852,0.308133621,1.120318682,0.262577984,-0.258722947,0.949138651,571,,,,
162,,,Complete_A,0.135587928,0.255216825,0.531265634,0.595234717,-0.364627858,0.635803714,781,,,,
163,,,Arg_above_2,0.271972471,0.218035179,1.247378847,0.212258619,-0.155368628,0.69931357,514,,,,
164,,,Mod_above_2,-1.117083362,0.827299607,-1.350276674,0.176927252,-2.738560797,0.504394073,482,,,,
165,,,Exp_above_2,0.358595009,0.810913289,0.442211286,0.65833632,-1.230765833,1.94795585,822,,,,
166,,,Time,0.000543384,0.001421685,0.382211187,0.702304725,-0.002243068,0.003329836,850,,,,
167,,,Job,0.351715505,0.109424737,3.214222991,0.001307981,0.137246962,0.566184048,124,,,,
168,,,Task,-0.035489657,0.052911708,-0.670733543,0.50239029,-0.139194699,0.068215384,739,,,,
169,,,Biome,-0.220018749,0.155136831,-1.418223819,0.15612543,-0.52408135,0.084043852,460,,,,
170,,,Session,0.048689244,0.007934701,6.136241842,8.45E-10,0.033137516,0.064240972,14,,,,
171,bayou-alt-energy,,,,,,,,,,,,,
172,,coral-lionfish-conspiracy,,,,,,,,,,,,
173,,,const,0.991812887,0.766061921,1.294690233,0.195427111,-0.509640888,2.493266661,499,,,,
174,,,Complete_A,0.119743584,0.35143763,0.340724992,0.733310622,-0.569061513,0.80854868,869,,,,
175,,,Arg_above_2,0.403917968,0.093064111,4.340211966,1.42E-05,0.221515663,0.586320274,50,,,,
176,,,Mod_above_2,0.02962477,0.104424267,0.283696225,0.776643188,-0.175043032,0.234292573,895,,,,
177,,,Exp_above_2,-0.320833192,0.127992341,-2.506659297,0.012187813,-0.571693571,-0.069972813,200,,,,
178,,,Time,0.0005885,0.000746955,0.787865468,0.430775402,-0.000875505,0.002052506,691,,,,
179,,,Job,-0.018194609,0.047448252,-0.383462161,0.701377121,-0.111191475,0.074802257,848,,,,
180,,,Task,-0.004528296,0.017885302,-0.253185315,0.800125013,-0.039582844,0.030526252,909,,,,
181,,,Biome,-0.533584956,0.23799013,-2.242046571,0.024958363,-1.00003704,-0.067132872,241,,,,
182,,,Session,-0.00114111,0.002512595,-0.454156011,0.649716541,-0.006065706,0.003783486,814,,,,
183,,bayou-reef-decision,,,,,,,,,,,,
184,,,const,0.360981907,0.794071974,0.454595955,0.649399946,-1.195370563,1.917334377,813,,,,
185,,,Complete_A,2.705082544,0.479766938,5.638326301,1.72E-08,1.764756625,3.645408463,24,,,,
186,,,Arg_above_2,0.493098349,0.090698119,5.436698735,5.43E-08,0.315333302,0.670863396,27,,,,
187,,,Mod_above_2,-0.04846602,0.107888192,-0.449224507,0.653269711,-0.25992299,0.162990951,817,,,,
188,,,Exp_above_2,-0.401706334,0.133901249,-3.000019329,0.002699625,-0.664147959,-0.139264709,144,,,,
189,,,Time,0.000265442,0.000670739,0.395745205,0.692293004,-0.001049182,0.001580065,845,,,,
190,,,Job,-0.057434285,0.05100834,-1.125978336,0.260174689,-0.157408794,0.042540223,568,,,,
191,,,Task,0.001065169,0.019441777,0.054787644,0.956307645,-0.037040013,0.039170351,993,,,,
192,,,Biome,-0.331534025,0.245246994,-1.351837261,0.176427381,-0.812209301,0.149141251,479,,,,
193,,,Session,-0.003390807,0.003018932,-1.123180868,0.261360686,-0.009307805,0.002526192,570,,,,
194,,bayou-hide-n-seek,,,,,,,,,,,,
195,,,const,0.42545235,0.788443493,0.539610452,0.589465707,-1.1198685,1.9707732,778,,,,
196,,,Complete_A,2.204155895,0.392996736,5.608585754,2.04E-08,1.433896447,2.974415344,25,,,,
197,,,Arg_above_2,0.475206998,0.088950181,5.342394977,9.17E-08,0.300867848,0.649546149,28,,,,
198,,,Mod_above_2,-0.01049437,0.109071603,-0.096215422,0.923349483,-0.224270784,0.203282043,980,,,,
199,,,Exp_above_2,-0.416943239,0.136436669,-3.055947064,0.002243509,-0.684354198,-0.149532281,138,,,,
200,,,Time,0.000395994,0.000677857,0.58418516,0.559095744,-0.000932582,0.00172457,770,,,,
201,,,Job,-0.047979758,0.050219837,-0.955394551,0.339378208,-0.14640883,0.050449313,628,,,,
202,,,Task,-0.0023587,0.01908344,-0.123599296,0.90163255,-0.039761554,0.035044155,970,,,,
203,,,Biome,-0.355309354,0.243244274,-1.460710046,0.144095031,-0.83205937,0.121440662,443,,,,
204,,,Session,-0.002816701,0.00287887,-0.978405271,0.327873922,-0.008459182,0.002825779,621,,,,
205,turtle-danger,,,,,,,,,,,,,
206,arctic-isolated-instance,,,,,,,,,,,,,
207,,arctic-above-n-below,,,,,,,,,,,,
208,,,const,1.605078942,1.349281186,1.189580763,0.23421121,-1.039463586,4.249621471,538,,,,
209,,,Complete_A,1.494308137,0.350349565,4.265191932,2.00E-05,0.807635608,2.180980666,53,,,,
210,,,Arg_above_2,0.02050082,0.140092776,0.146337453,0.883655001,-0.254075975,0.295077615,959,,,,
211,,,Mod_above_2,-1.077502736,0.189352485,-5.690459961,1.27E-08,-1.448626788,-0.706378685,23,,,,
212,,,Exp_above_2,1.152826794,0.23196075,4.969921825,6.70E-07,0.698192078,1.607461509,35,,,,
213,,,Time,0.001506057,0.001171647,1.285418252,0.198646166,-0.00079033,0.003802444,503,,,,
214,,,Job,0.048373327,0.081821417,0.591206176,0.554382285,-0.111993703,0.208740357,768,,,,
215,,,Task,0.022829766,0.028083236,0.812932166,0.416256951,-0.032212365,0.077871897,678,,,,
216,,,Biome,-0.776432356,0.405670439,-1.913948567,0.055626728,-1.571531807,0.018667095,310,,,,
217,,,Session,-0.001207217,0.003742831,-0.322541133,0.747042782,-0.008543031,0.006128597,879,,,,
218,,arctic-endangered-seals,,,,,,,,,,,,
219,,,const,1.789296126,1.360360248,1.315310506,0.188405569,-0.876960966,4.455553219,495,,,,
220,,,Complete_A,1.591404045,0.450367407,3.533568418,0.00040999,0.708700148,2.474107942,94,,,,
221,,,Arg_above_2,0.023143452,0.136079848,0.17007259,0.864953049,-0.243568148,0.289855052,942,,,,
222,,,Mod_above_2,-1.141245257,0.192874399,-5.917038581,3.28E-09,-1.519272132,-0.763218383,21,,,,
223,,,Exp_above_2,1.131523548,0.232042907,4.876354828,1.08E-06,0.676727808,1.586319288,37,,,,
224,,,Time,0.0017498,0.001347194,1.298848195,0.193996031,-0.000890651,0.004390251,498,,,,
225,,,Job,0.051636098,0.082716352,0.624255016,0.532460121,-0.110484974,0.213757169,754,,,,
226,,,Task,0.038555897,0.02854685,1.350618252,0.176817751,-0.017394901,0.094506694,481,,,,
227,,,Biome,-0.89829173,0.41568857,-2.160972889,0.030697434,-1.713026355,-0.083557104,255,,,,
228,,,Session,0.001479267,0.003724277,0.397195803,0.691223077,-0.005820181,0.008778716,843,,,,
229,,bayou-reef-decision,,,,,,,,,,,,
230,,,const,1.928079801,1.346518298,1.431900186,0.152172389,-0.711047567,4.567207169,457,,,,
231,,,Complete_A,1.071297981,0.501941463,2.134308601,0.032817528,0.087510792,2.05508517,263,,,,
232,,,Arg_above_2,0.100639372,0.135885691,0.740617876,0.458925166,-0.165691688,0.366970431,705,,,,
233,,,Mod_above_2,-1.119467133,0.186447478,-6.004195638,1.92E-09,-1.484897474,-0.754036791,18,,,,
234,,,Exp_above_2,1.10228295,0.229021545,4.813009844,1.49E-06,0.65340897,1.551156929,38,,,,
235,,,Time,0.001610739,0.001411177,1.141415348,0.253697121,-0.001155117,0.004376596,560,,,,
236,,,Job,0.025441505,0.08025481,0.3170091,0.751236697,-0.131855033,0.182738043,882,,,,
237,,,Task,0.034746045,0.027822793,1.248833819,0.211725862,-0.019785628,0.089277718,513,,,,
238,,,Biome,-0.83878557,0.399503485,-2.099570096,0.035766676,-1.621798012,-0.055773128,272,,,,
239,,,Session,0.00105354,0.003742081,0.28153862,0.778297311,-0.006280803,0.008387884,897,,,,
240,turtle-danger2,,,,,,,,,,,,,
241,arctic-disappearing-act,,,,,,,,,,,,,
242,,bayou-reef-decision,,,,,,,,,,,,
243,,,const,4.107734598,1.437783916,2.856990228,0.00427679,1.289729905,6.925739292,159,,,,
244,,,Complete_A,1.654286894,0.568880961,2.907966704,0.003637871,0.539300698,2.769273089,154,,,,
245,,,Arg_above_2,-0.150886348,0.128207423,-1.176892444,0.239238438,-0.402168279,0.100395584,545,,,,
246,,,Mod_above_2,-0.069466732,0.138163795,-0.502785349,0.615115196,-0.340262795,0.201329331,789,,,,
247,,,Exp_above_2,-0.05419719,0.181799096,-0.298115839,0.765614753,-0.41051687,0.30212249,892,,,,
248,,,Time,-0.000795842,0.000954997,-0.833345277,0.404650028,-0.002667601,0.001075917,666,,,,
249,,,Job,0.286670223,0.074819695,3.831480768,0.000127374,0.140026315,0.43331413,76,,,,
250,,,Task,-0.057507089,0.028071686,-2.048579834,0.040503218,-0.112526582,-0.002487596,282,,,,
251,,,Biome,-0.962552886,0.449611712,-2.140853674,0.03228584,-1.843775649,-0.081330123,261,,,,
252,,,Session,-0.002819377,0.00237966,-1.184781391,0.236103892,-0.007483426,0.001844671,541,,,,
253,,kelp-bull-kelp-forest,,,,,,,,,,,,
254,,,const,4.507601844,1.478021604,3.049753693,0.002290291,1.610732732,7.404470956,139,,,,
255,,,Complete_A,0.029561602,0.598086473,0.049426969,0.960579036,-1.142666345,1.201789548,995,,,,
256,,,Arg_above_2,-0.143517151,0.128970661,-1.112789142,0.265799,-0.396295001,0.109260699,573,,,,
257,,,Mod_above_2,-0.038451182,0.143267885,-0.268386609,0.788401746,-0.319251075,0.242348712,902,,,,
258,,,Exp_above_2,-0.031163753,0.179863914,-0.173262951,0.862444744,-0.383690547,0.321363042,938,,,,
259,,,Time,-0.000768796,0.000905004,-0.849494503,0.395606187,-0.002542572,0.00100498,660,,,,
260,,,Job,0.299625325,0.08148272,3.677163983,0.000235841,0.139922127,0.459328522,86,,,,
261,,,Task,-0.060030834,0.027256815,-2.202415549,0.027635969,-0.11345321,-0.006608458,248,,,,
262,,,Biome,-1.117586115,0.4593292,-2.433083102,0.014970864,-2.017854804,-0.217317426,209,,,,
263,,,Session,-0.001221013,0.002542059,-0.480324529,0.63099665,-0.006203357,0.003761331,794,,,,
264,kelp-musselfest-solution,,,,,,,,,,,,,
265,,kelp-bull-kelp-forest,,,,,,,,,,,,
266,,,const,2.413555198,1.093802947,2.20657222,0.02734396,0.269740815,4.557369581,246,,,,
267,,,Complete_A,1.976663626,0.566700623,3.488020916,0.00048661,0.865950815,3.087376437,101,,,,
268,,,Arg_above_2,0.510849092,0.136109802,3.753213087,0.000174582,0.244078781,0.777619402,81,,,,
269,,,Mod_above_2,0.126357778,0.160956475,0.785043151,0.432428269,-0.189111116,0.441826672,693,,,,
270,,,Exp_above_2,-0.150746815,0.205442379,-0.733766887,0.463090825,-0.553406478,0.251912848,707,,,,
271,,,Time,0.001406114,0.001598008,0.879916253,0.378904679,-0.001725925,0.004538153,650,,,,
272,,,Job,-0.126644814,0.083872747,-1.509963824,0.131052655,-0.291032377,0.03774275,421,,,,
273,,,Task,0.009392032,0.032455327,0.289383386,0.772288008,-0.054219239,0.073003304,894,,,,
274,,,Biome,-0.824177468,0.338827341,-2.43244086,0.01499744,-1.488266853,-0.160088083,210,,,,
275,,,Session,0.002906096,0.004729785,0.614424687,0.538934727,-0.006364111,0.012176304,757,,,,
276,,kelp-mussel-fest,,,,,,,,,,,,
277,,,const,2.440010503,1.112994,2.192294391,0.028358256,0.258582349,4.621438658,251,,,,
278,,,Complete_A,1.405735677,0.805872489,1.744364892,0.081095483,-0.173745377,2.98521673,349,,,,
279,,,Arg_above_2,0.407407948,0.129523726,3.145431037,0.001658423,0.15354611,0.661269787,130,,,,
280,,,Mod_above_2,0.072970721,0.159246112,0.458226077,0.646790027,-0.239145923,0.385087365,808,,,,
281,,,Exp_above_2,-0.181991367,0.209074725,-0.870460872,0.384048594,-0.591770298,0.227787563,656,,,,
